engine_number,cycle,setting_1,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
34,90,0.0018,642.14,1589.98,1400.03,21.61,554.19,2388.04,9066.45,47.21,522.56,2387.99,8144.21,8.3842,392,38.97,23.3966
34,91,0.0019,642.22,1585.15,1398.17,21.61,554.43,2388.03,9062.77,47.35,522.43,2387.99,8146.28,8.3986,394,38.89,23.4278
34,92,-0.0023,642.17,1589.4,1393.33,21.61,554.19,2388.0,9058.83,47.19,522.01,2388.0,8145.42,8.3839,391,39.03,23.4131
34,93,-0.0017,642.68,1584.88,1400.56,21.61,554.26,2388.01,9055.44,47.23,522.04,2388.04,8144.05,8.4081,391,39.06,23.3929
34,94,-0.0024,642.36,1590.26,1395.24,21.61,553.08,2388.02,9062.67,47.35,521.79,2388.07,8152.32,8.4112,392,39.02,23.3306
34,95,0.0011,642.03,1588.05,1394.28,21.61,554.21,2388.07,9070.72,47.28,522.2,2388.0,8150.52,8.4281,391,39.05,23.3512
34,96,-0.0009,642.39,1584.85,1398.21,21.61,554.69,2388.04,9060.85,47.22,522.06,2388.04,8143.34,8.4206,392,38.85,23.399
34,97,0.0029,642.05,1580.38,1399.2,21.6,554.56,2388.01,9066.52,47.24,522.39,2388.01,8148.67,8.4328,390,38.96,23.4643
34,98,-0.0003,642.13,1585.45,1409.51,21.61,553.97,2387.99,9065.84,47.25,522.27,2388.05,8145.49,8.4161,394,38.65,23.3337
34,99,0.0006,642.37,1580.79,1395.62,21.61,554.48,2388.06,9057.49,47.06,522.44,2388.01,8150.92,8.4009,392,38.86,23.4181
34,100,0.0022,641.81,1583.68,1397.37,21.6,555.07,2388.06,9067.3,47.29,522.34,2388.06,8144.13,8.3822,393,39.01,23.392
34,101,-0.0018,642.43,1588.29,1406.16,21.6,554.32,2388.08,9071.34,47.3,521.91,2388.02,8145.75,8.428,391,38.99,23.3392
34,102,-0.0027,642.5,1591.2,1393.27,21.61,555.04,2388.05,9061.87,47.21,522.39,2388.04,8152.91,8.4313,392,38.89,23.3472
34,103,-0.0021,642.05,1585.5,1391.25,21.61,554.45,2388.01,9061.9,47.17,522.04,2388.03,8143.25,8.4441,392,39.19,23.3275
34,104,-0.002,642.84,1583.8,1394.57,21.61,554.68,2387.99,9068.48,47.26,522.06,2388.07,8147.33,8.4418,390,38.88,23.4593
34,105,0.0028,642.98,1591.62,1402.32,21.61,554.24,2388.02,9066.72,47.46,522.32,2388.0,8147.64,8.4041,392,38.82,23.4352
34,106,0.001,642.24,1588.52,1396.23,21.61,554.43,2388.02,9062.45,47.33,522.16,2388.04,8144.74,8.4068,391,38.83,23.3278
34,107,-0.0002,642.46,1585.98,1404.12,21.61,554.42,2388.03,9066.86,47.35,522.2,2388.05,8146.72,8.3827,390,38.94,23.3226
34,108,-0.0003,642.5,1586.79,1398.8,21.61,554.24,2388.0,9060.28,47.34,521.99,2388.01,8142.18,8.4165,392,38.83,23.3561
34,109,0.0023,642.16,1588.89,1400.66,21.61,553.67,2388.07,9073.97,47.17,522.43,2388.01,8148.83,8.4252,391,39.11,23.4976
34,110,0.0003,642.68,1585.4,1404.35,21.61,553.75,2388.1,9059.3,47.27,522.58,2388.01,8140.8,8.4217,392,39.18,23.2152
34,111,0.0028,642.53,1587.46,1403.45,21.61,555.21,2388.08,9068.05,47.32,521.9,2388.06,8142.8,8.4001,391,38.81,23.3599
34,112,-0.0019,641.76,1583.17,1401.72,21.61,554.52,2388.08,9067.99,47.29,521.79,2388.01,8146.48,8.3952,392,39.0,23.2687
34,113,0.0016,642.26,1586.01,1405.6,21.61,553.72,2388.04,9059.24,47.41,521.87,2388.03,8150.45,8.3987,393,38.98,23.3576
34,114,-0.0024,642.15,1582.04,1402.35,21.61,553.65,2388.04,9062.72,47.17,522.2,2388.07,8148.19,8.429,392,38.92,23.372
34,115,-0.0015,642.34,1584.61,1400.74,21.61,553.82,2387.98,9065.96,47.31,521.73,2388.01,8141.17,8.4076,391,38.76,23.3408
34,116,0.0016,642.69,1594.27,1400.57,21.61,553.54,2388.01,9064.28,47.35,521.8,2388.03,8138.03,8.4267,393,39.02,23.3941
34,117,-0.0004,642.26,1582.57,1405.85,21.61,553.59,2387.99,9066.25,47.44,521.87,2388.07,8140.83,8.4179,392,38.86,23.4573
34,118,0.0014,642.74,1583.5,1399.86,21.61,554.34,2388.08,9069.75,47.2,521.84,2388.03,8146.35,8.4235,392,38.9,23.3139
34,119,-0.0019,642.25,1585.66,1398.02,21.61,554.3,2388.07,9062.97,47.43,522.07,2388.02,8142.17,8.3971,392,39.07,23.3103
34,120,-0.0003,642.71,1586.19,1394.56,21.61,554.0,2388.08,9062.62,47.44,521.05,2388.03,8143.5,8.4227,392,38.88,23.4589
34,121,-0.0005,642.13,1588.59,1395.42,21.61,554.5,2388.08,9065.99,47.4,522.1,2388.07,8144.83,8.4088,392,38.83,23.4867
34,122,0.0016,642.34,1587.58,1409.53,21.61,554.11,2388.03,9063.82,47.27,521.59,2388.06,8145.76,8.4288,393,38.96,23.4157
34,123,0.0006,642.46,1584.21,1399.99,21.61,554.16,2388.11,9056.64,47.25,521.97,2388.08,8143.67,8.3867,393,38.62,23.2963
34,124,0.0005,642.59,1587.98,1405.54,21.61,554.2,2388.0,9065.81,47.34,522.13,2388.07,8145.47,8.3819,392,39.08,23.4019
34,125,0.0009,641.85,1589.79,1403.22,21.61,553.65,2388.08,9067.92,47.33,521.86,2388.08,8144.47,8.3875,392,38.97,23.3968
34,126,-0.0023,642.54,1589.15,1411.06,21.61,554.34,2388.06,9064.36,47.4,521.6,2388.01,8139.37,8.4252,393,38.86,23.4118
34,127,0.0022,642.37,1586.2,1402.14,21.61,554.16,2388.04,9067.89,47.32,521.96,2388.02,8136.83,8.4104,393,38.92,23.2547
34,128,-0.0012,642.82,1589.33,1399.0,21.61,553.98,2388.09,9066.13,47.33,521.4,2388.07,8141.95,8.3972,392,38.86,23.3264
34,129,0.0011,642.17,1586.99,1407.04,21.61,553.52,2388.05,9062.86,47.34,522.0,2388.05,8145.24,8.3828,393,38.91,23.228
34,130,-0.001,642.17,1586.94,1410.72,21.61,553.74,2388.11,9060.96,47.08,521.97,2388.05,8138.79,8.4059,391,38.68,23.3741
34,131,0.0016,642.39,1588.34,1401.73,21.61,554.4,2388.06,9060.88,47.47,521.66,2388.0,8143.93,8.3927,391,38.91,23.4075
34,132,0.002,642.28,1588.32,1402.36,21.61,554.5,2388.02,9063.73,47.6,522.82,2388.09,8141.69,8.4597,392,39.06,23.1697
34,133,0.0005,642.9,1589.73,1393.92,21.61,554.06,2388.03,9060.23,47.51,522.17,2388.0,8140.56,8.4136,391,38.86,23.362
34,134,0.0032,642.7,1588.42,1401.0,21.61,553.83,2388.05,9052.76,47.42,521.32,2388.06,8137.1,8.4349,393,38.87,23.2193
34,135,-0.0016,642.63,1580.86,1404.81,21.61,553.69,2388.09,9061.51,47.59,522.21,2388.01,8146.34,8.4563,392,38.97,23.3227
34,136,-0.0018,642.15,1581.25,1404.19,21.61,554.43,2388.13,9062.74,47.28,521.53,2388.05,8146.6,8.4203,394,38.88,23.2715
34,137,0.0009,642.29,1586.01,1409.41,21.61,554.23,2388.05,9058.45,47.38,522.26,2388.06,8143.02,8.4247,393,38.74,23.4174
34,138,-0.002,642.97,1586.79,1412.98,21.61,554.3,2388.09,9063.42,47.25,521.08,2388.07,8143.98,8.4377,392,39.0,23.4384
34,139,-0.0005,642.33,1584.01,1405.78,21.61,554.02,2388.02,9064.31,47.45,522.06,2388.04,8143.69,8.4417,393,38.94,23.2372
34,140,-0.0017,642.12,1586.65,1400.89,21.61,553.62,2388.06,9058.0,47.4,522.12,2388.03,8144.21,8.4251,393,39.07,23.3734
34,141,0.0012,642.58,1591.1,1410.44,21.61,553.55,2388.01,9065.13,47.46,521.49,2388.09,8141.1,8.486,394,38.96,23.33
34,142,-0.0017,642.83,1583.26,1414.06,21.61,553.45,2388.04,9063.52,47.46,522.04,2388.08,8141.51,8.3927,393,38.77,23.2708
34,143,-0.002,642.33,1580.23,1406.98,21.61,553.72,2388.05,9059.14,47.54,521.63,2388.05,8138.69,8.425,394,38.79,23.291
34,144,0.0008,642.72,1584.94,1408.37,21.61,553.33,2388.04,9057.01,47.53,521.74,2388.05,8143.36,8.4183,394,38.87,23.41
34,145,0.0002,641.69,1594.34,1405.98,21.61,553.84,2388.11,9060.45,47.47,520.94,2388.02,8142.79,8.441,393,38.87,23.3361
34,146,-0.0048,643.14,1590.63,1407.86,21.61,553.37,2388.04,9060.63,47.36,521.88,2388.11,8137.57,8.4546,394,39.07,23.287
34,147,-0.0008,642.63,1590.72,1409.42,21.61,553.83,2388.13,9058.71,47.43,521.65,2388.09,8138.25,8.4141,393,38.94,23.3753
34,148,0.002,642.77,1584.27,1402.15,21.61,553.66,2388.05,9055.41,47.72,522.13,2388.03,8141.53,8.3902,393,38.83,23.3388
34,149,0.0006,642.1,1597.2,1407.63,21.61,553.26,2388.1,9065.04,47.45,521.31,2388.13,8139.07,8.4623,393,39.1,23.286
34,150,-0.0012,642.52,1590.6,1408.91,21.61,553.94,2388.17,9056.56,47.64,521.19,2388.09,8135.48,8.4156,393,38.71,23.201
34,151,-0.0018,642.93,1595.77,1408.55,21.61,553.56,2388.08,9061.88,47.44,520.93,2388.09,8145.93,8.4359,392,38.74,23.2953
34,152,0.0017,642.52,1586.36,1403.44,21.61,553.15,2388.08,9051.84,47.62,521.25,2388.07,8142.94,8.456,392,38.77,23.2925
34,153,-0.0025,642.59,1588.56,1406.22,21.61,553.26,2388.05,9051.18,47.5,521.47,2388.07,8136.99,8.4098,393,38.74,23.2869
34,154,0.0007,642.64,1591.34,1410.67,21.61,553.15,2388.12,9050.3,47.39,521.33,2388.13,8141.67,8.4184,393,38.75,23.2733
34,155,0.0009,642.23,1586.28,1403.77,21.61,553.44,2388.1,9061.74,47.58,521.11,2388.07,8141.7,8.47,394,39.01,23.2196
34,156,0.0021,642.09,1589.41,1411.95,21.61,553.09,2388.12,9060.21,47.45,521.49,2388.06,8142.51,8.4083,393,38.87,23.2144
34,157,-0.0027,642.19,1587.74,1418.1,21.61,553.25,2388.08,9056.42,47.51,521.21,2388.1,8139.51,8.4802,394,38.83,23.4258
34,158,0.0052,642.8,1590.08,1410.8,21.61,553.58,2388.13,9060.75,47.44,521.55,2388.1,8138.95,8.4434,395,38.6,23.3024
34,159,-0.003,642.6,1591.85,1415.17,21.61,552.98,2388.08,9059.45,47.46,521.48,2388.09,8140.01,8.4497,394,38.79,23.3303
34,160,-0.0006,642.74,1589.69,1408.3,21.61,553.39,2388.12,9056.96,47.55,521.41,2388.1,8141.35,8.438,395,38.86,23.2501
34,161,0.002,643.19,1586.41,1408.9,21.61,553.82,2388.05,9055.77,47.46,521.1,2388.12,8137.89,8.4472,394,38.92,23.2061
34,162,0.005,642.8,1589.56,1405.06,21.61,553.42,2388.11,9063.64,47.68,521.51,2388.13,8135.85,8.4121,395,38.69,23.3255
34,163,0.0031,642.81,1599.86,1404.99,21.61,553.27,2388.1,9064.68,47.52,521.31,2388.09,8138.43,8.4377,394,38.95,23.3349
34,164,0.005,642.35,1583.85,1408.51,21.61,553.0,2388.16,9052.6,47.41,520.83,2388.11,8136.91,8.4316,395,38.87,23.3417
34,165,-0.0002,643.14,1598.34,1409.18,21.61,553.19,2388.12,9058.77,47.64,521.39,2388.12,8133.92,8.4435,394,38.86,23.3071
34,166,0.0028,642.86,1589.46,1415.1,21.61,553.05,2388.16,9061.74,47.81,521.02,2388.06,8132.47,8.4253,393,38.9,23.2822
34,167,0.002,642.6,1592.94,1409.59,21.61,552.58,2388.17,9048.06,47.61,521.7,2388.15,8133.6,8.4783,392,38.85,23.2624
34,168,-0.0,643.29,1589.45,1410.78,21.61,553.41,2388.14,9064.25,47.67,521.48,2388.11,8134.25,8.4628,393,38.96,23.2297
34,169,-0.0028,642.66,1596.0,1411.63,21.61,552.36,2388.19,9051.6,47.61,520.98,2388.12,8137.51,8.4678,396,38.7,23.2159
34,170,0.0018,643.09,1599.39,1413.33,21.61,552.33,2388.09,9057.14,47.77,521.43,2388.2,8136.59,8.4417,394,38.75,23.3127
34,171,0.0018,642.88,1592.94,1416.22,21.61,553.0,2388.19,9045.03,47.74,520.81,2388.18,8134.66,8.46,394,38.63,23.2236
34,172,0.0006,642.95,1584.9,1410.01,21.61,552.3,2388.13,9055.42,47.89,520.89,2388.14,8133.51,8.4636,393,38.85,23.1869
34,173,0.0015,642.52,1583.28,1409.69,21.61,553.2,2388.14,9052.34,47.7,520.94,2388.16,8137.0,8.4523,392,39.04,23.4217
34,174,0.0007,642.89,1587.07,1418.75,21.61,552.92,2388.14,9061.06,47.46,521.25,2388.2,8135.87,8.425,394,38.66,23.3164
34,175,-0.0018,642.8,1592.75,1415.07,21.61,552.59,2388.16,9055.42,47.79,521.07,2388.12,8133.33,8.4821,393,38.85,23.2882
34,176,-0.0012,642.84,1584.68,1413.32,21.61,552.07,2388.14,9055.31,47.7,521.0,2388.07,8133.92,8.4703,394,38.87,23.2384
34,177,-0.0038,642.62,1587.04,1417.87,21.61,552.17,2388.14,9056.57,47.89,520.64,2388.17,8129.8,8.4391,394,38.66,23.2695
34,178,0.0033,642.89,1594.82,1416.91,21.61,552.96,2388.15,9056.19,47.64,521.55,2388.18,8130.62,8.439,393,38.75,23.2337
34,179,-0.0019,642.91,1586.99,1412.3,21.61,552.87,2388.14,9054.48,47.7,520.67,2388.15,8136.48,8.4581,395,38.83,23.2161
34,180,0.0036,642.5,1596.67,1415.84,21.61,552.46,2388.15,9057.44,47.58,521.78,2388.16,8133.86,8.4965,395,38.68,23.2384
34,181,0.0014,643.28,1596.16,1416.23,21.61,552.6,2388.17,9050.62,47.62,520.48,2388.12,8131.55,8.4636,395,38.6,23.2233
34,182,0.0031,642.88,1592.54,1417.01,21.61,552.8,2388.18,9057.01,47.74,521.15,2388.21,8136.09,8.4488,394,38.73,23.2751
34,183,-0.0004,642.93,1597.37,1424.26,21.61,551.98,2388.19,9059.74,47.68,520.88,2388.17,8133.01,8.4648,394,38.66,23.2088
